200125 135038.850|CONFIG|Thread-2|setFileHandlers|Now logging to C:\Users\mihir\Documents\NetBeansProjects\RRUIL\logs directory.
200125 141336.256|INFO|Thread-5|dumpPacket|Packet UPDATE_SETTING (Seq #136, o#3 ) handlePacket
200125 141336.256|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141336.256|INFO|Thread-5|dumpPacket|    To: SERVER0 @ site 0
200125 141336.256|INFO|Thread-5|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Point Collection
200125 141336.256|INFO|Thread-5|info|handlePacket end Packet[UPDATE_SETTING] #136 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141336.256|INFO|Thread-5|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #136 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141347.481|INFO|Thread-6|info| receiveObject(S) start got Packet[UPDATE_SETTING] #138 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141347.481|INFO|Thread-6|dumpPacket|Packet UPDATE_SETTING (Seq #138, o#4 ) recieveObject
200125 141347.481|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141347.481|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
200125 141347.481|INFO|Thread-6|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Runner
200125 141347.481|INFO|Thread-6|info|handlePacket start Packet[UPDATE_SETTING] #138 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141347.481|INFO|Thread-6|dumpPacket|Packet UPDATE_SETTING (Seq #138, o#4 ) handlePacket
200125 141347.481|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141347.481|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
200125 141347.481|INFO|Thread-6|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Runner
200125 141347.481|INFO|Thread-6|info|handlePacket end Packet[UPDATE_SETTING] #138 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141347.481|INFO|Thread-6|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #138 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141404.523|INFO|Thread-7|info| receiveObject(S) start got Packet[UPDATE_SETTING] #140 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141404.523|INFO|Thread-7|dumpPacket|Packet UPDATE_SETTING (Seq #140, o#5 ) recieveObject
200125 141404.523|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141404.523|INFO|Thread-7|dumpPacket|    To: SERVER0 @ site 0
200125 141404.523|INFO|Thread-7|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Food Supply
200125 141404.523|INFO|Thread-7|info|handlePacket start Packet[UPDATE_SETTING] #140 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141404.523|INFO|Thread-7|dumpPacket|Packet UPDATE_SETTING (Seq #140, o#5 ) handlePacket
200125 141404.523|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141404.523|INFO|Thread-7|dumpPacket|    To: SERVER0 @ site 0
200125 141404.523|INFO|Thread-7|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Food Supply
200125 141404.523|INFO|Thread-7|info|handlePacket end Packet[UPDATE_SETTING] #140 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141404.523|INFO|Thread-7|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #140 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141413.764|INFO|Thread-8|info| receiveObject(S) start got Packet[UPDATE_SETTING] #144 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141413.764|INFO|Thread-8|dumpPacket|Packet UPDATE_SETTING (Seq #144, o#6 ) recieveObject
200125 141413.764|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141413.764|INFO|Thread-8|dumpPacket|    To: SERVER0 @ site 0
200125 141413.764|INFO|Thread-8|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Gameboy
200125 141413.764|INFO|Thread-8|info|handlePacket start Packet[UPDATE_SETTING] #144 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141413.764|INFO|Thread-8|dumpPacket|Packet UPDATE_SETTING (Seq #144, o#6 ) handlePacket
200125 141413.764|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141413.764|INFO|Thread-8|dumpPacket|    To: SERVER0 @ site 0
200125 141413.764|INFO|Thread-8|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Gameboy
200125 141413.764|INFO|Thread-8|info|handlePacket end Packet[UPDATE_SETTING] #144 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141413.764|INFO|Thread-8|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #144 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141431.498|INFO|Thread-9|info| receiveObject(S) start got Packet[UPDATE_SETTING] #152 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141431.498|INFO|Thread-9|dumpPacket|Packet UPDATE_SETTING (Seq #152, o#7 ) recieveObject
200125 141431.498|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141431.498|INFO|Thread-9|dumpPacket|    To: SERVER0 @ site 0
200125 141431.498|INFO|Thread-9|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Memory Sort
200125 141431.498|INFO|Thread-9|info|handlePacket start Packet[UPDATE_SETTING] #152 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141431.498|INFO|Thread-9|dumpPacket|Packet UPDATE_SETTING (Seq #152, o#7 ) handlePacket
200125 141431.498|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141431.498|INFO|Thread-9|dumpPacket|    To: SERVER0 @ site 0
200125 141431.498|INFO|Thread-9|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Memory Sort
200125 141431.498|INFO|Thread-9|info|handlePacket end Packet[UPDATE_SETTING] #152 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141431.498|INFO|Thread-9|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #152 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141439.182|INFO|Thread-10|info| receiveObject(S) start got Packet[UPDATE_SETTING] #156 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141439.182|INFO|Thread-10|dumpPacket|Packet UPDATE_SETTING (Seq #156, o#8 ) recieveObject
200125 141439.182|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141439.182|INFO|Thread-10|dumpPacket|    To: SERVER0 @ site 0
200125 141439.182|INFO|Thread-10|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Herons Formula
200125 141439.182|INFO|Thread-10|info|handlePacket start Packet[UPDATE_SETTING] #156 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141439.182|INFO|Thread-10|dumpPacket|Packet UPDATE_SETTING (Seq #156, o#8 ) handlePacket
200125 141439.182|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141439.182|INFO|Thread-10|dumpPacket|    To: SERVER0 @ site 0
200125 141439.182|INFO|Thread-10|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Herons Formula
200125 141439.182|INFO|Thread-10|info|handlePacket end Packet[UPDATE_SETTING] #156 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141439.182|INFO|Thread-10|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #156 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141450.778|INFO|Thread-11|info| receiveObject(S) start got Packet[UPDATE_SETTING] #160 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141450.778|INFO|Thread-11|dumpPacket|Packet UPDATE_SETTING (Seq #160, o#9 ) recieveObject
200125 141450.778|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141450.778|INFO|Thread-11|dumpPacket|    To: SERVER0 @ site 0
200125 141450.778|INFO|Thread-11|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Space Trader
200125 141450.778|INFO|Thread-11|info|handlePacket start Packet[UPDATE_SETTING] #160 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141450.778|INFO|Thread-11|dumpPacket|Packet UPDATE_SETTING (Seq #160, o#9 ) handlePacket
200125 141450.778|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141450.778|INFO|Thread-11|dumpPacket|    To: SERVER0 @ site 0
200125 141450.778|INFO|Thread-11|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Space Trader
200125 141450.778|INFO|Thread-11|info|handlePacket end Packet[UPDATE_SETTING] #160 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141450.778|INFO|Thread-11|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #160 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141503.709|INFO|Thread-12|info| receiveObject(S) start got Packet[UPDATE_SETTING] #162 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141503.709|INFO|Thread-12|dumpPacket|Packet UPDATE_SETTING (Seq #162, o#10 ) recieveObject
200125 141503.709|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141503.709|INFO|Thread-12|dumpPacket|    To: SERVER0 @ site 0
200125 141503.709|INFO|Thread-12|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Roads
200125 141503.709|INFO|Thread-12|info|handlePacket start Packet[UPDATE_SETTING] #162 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141503.709|INFO|Thread-12|dumpPacket|Packet UPDATE_SETTING (Seq #162, o#10 ) handlePacket
200125 141503.709|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141503.709|INFO|Thread-12|dumpPacket|    To: SERVER0 @ site 0
200125 141503.709|INFO|Thread-12|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Roads
200125 141503.709|INFO|Thread-12|info|handlePacket end Packet[UPDATE_SETTING] #162 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141503.709|INFO|Thread-12|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #162 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141511.752|INFO|Thread-13|info| receiveObject(S) start got Packet[UPDATE_SETTING] #164 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141511.752|INFO|Thread-13|dumpPacket|Packet UPDATE_SETTING (Seq #164, o#11 ) recieveObject
200125 141511.752|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141511.752|INFO|Thread-13|dumpPacket|    To: SERVER0 @ site 0
200125 141511.752|INFO|Thread-13|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Sale
200125 141511.752|INFO|Thread-13|info|handlePacket start Packet[UPDATE_SETTING] #164 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141511.752|INFO|Thread-13|dumpPacket|Packet UPDATE_SETTING (Seq #164, o#11 ) handlePacket
200125 141511.752|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141511.752|INFO|Thread-13|dumpPacket|    To: SERVER0 @ site 0
200125 141511.752|INFO|Thread-13|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Sale
200125 141511.752|INFO|Thread-13|info|handlePacket end Packet[UPDATE_SETTING] #164 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141511.752|INFO|Thread-13|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #164 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141519.799|INFO|Thread-14|info| receiveObject(S) start got Packet[UPDATE_SETTING] #166 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141519.799|INFO|Thread-14|dumpPacket|Packet UPDATE_SETTING (Seq #166, o#12 ) recieveObject
200125 141519.799|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141519.799|INFO|Thread-14|dumpPacket|    To: SERVER0 @ site 0
200125 141519.799|INFO|Thread-14|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Occurring Difference
200125 141519.799|INFO|Thread-14|info|handlePacket start Packet[UPDATE_SETTING] #166 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141519.799|INFO|Thread-14|dumpPacket|Packet UPDATE_SETTING (Seq #166, o#12 ) handlePacket
200125 141519.799|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141519.799|INFO|Thread-14|dumpPacket|    To: SERVER0 @ site 0
200125 141519.799|INFO|Thread-14|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Occurring Difference
200125 141519.799|INFO|Thread-14|info|handlePacket end Packet[UPDATE_SETTING] #166 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141519.799|INFO|Thread-14|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #166 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141528.549|INFO|Thread-15|info| receiveObject(S) start got Packet[UPDATE_SETTING] #168 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141528.549|INFO|Thread-15|dumpPacket|Packet UPDATE_SETTING (Seq #168, o#13 ) recieveObject
200125 141528.549|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141528.549|INFO|Thread-15|dumpPacket|    To: SERVER0 @ site 0
200125 141528.549|INFO|Thread-15|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Inscribe
200125 141528.549|INFO|Thread-15|info|handlePacket start Packet[UPDATE_SETTING] #168 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141528.549|INFO|Thread-15|dumpPacket|Packet UPDATE_SETTING (Seq #168, o#13 ) handlePacket
200125 141528.549|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 141528.549|INFO|Thread-15|dumpPacket|    To: SERVER0 @ site 0
200125 141528.564|INFO|Thread-15|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Inscribe
200125 141528.564|INFO|Thread-15|info|handlePacket end Packet[UPDATE_SETTING] #168 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 141528.564|INFO|Thread-15|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #168 SERVER0 @ site 1 -> SERVER0 @ site 0
200125 142600.938|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for Herons Formula Java file: C:\Users\mihir\Documents\NetBeansProjects\RRUIL\src\herons.java
200125 142600.954|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM141 @ site 1 -> SERVER0 @ site 1
200125 142600.954|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM141 @ site 1 -> SERVER0 @ site 1
200125 142601.063|INFO|Thread-17|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #307 SERVER0 @ site 1 -> TEAM141 @ site 1
200125 142601.063|INFO|Thread-17|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #307, o#307 ) recieveObject
200125 142601.063|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 142601.063|INFO|Thread-17|dumpPacket|    To: TEAM141 @ site 1
200125 142601.063|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 30 NEW 20 min 1256462ms from TEAM141 @ site 1 id Run-5149571781510081862 problem Herons_Formula-280559338470133775 lang Java-219397506908346364
200125 142601.063|INFO|Thread-17|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #307 SERVER0 @ site 1 -> TEAM141 @ site 1
200125 142601.063|INFO|Thread-17|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #307, o#307 ) handlePacket
200125 142601.063|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 142601.063|INFO|Thread-17|dumpPacket|    To: TEAM141 @ site 1
200125 142601.063|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 30 NEW 20 min 1256462ms from TEAM141 @ site 1 id Run-5149571781510081862 problem Herons_Formula-280559338470133775 lang Java-219397506908346364
200125 142602.301|INFO|Thread-17|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #307 SERVER0 @ site 1 -> TEAM141 @ site 1
200125 142641.459|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for Inscribe Java file: C:\Users\mihir\Documents\NetBeansProjects\RRUIL\src\inscribe.java
200125 142641.459|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM141 @ site 1 -> SERVER0 @ site 1
200125 142641.459|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM141 @ site 1 -> SERVER0 @ site 1
200125 142641.585|INFO|Thread-19|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #319 SERVER0 @ site 1 -> TEAM141 @ site 1
200125 142641.585|INFO|Thread-19|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #319, o#319 ) recieveObject
200125 142641.585|INFO|Thread-19|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (LAPTOP-MORBFQOT @ 192.168.1.42) (Contest Id: Default-5306661937380324558)
200125 142641.585|INFO|Thread-19|dumpPacket|    To: TEAM141 @ site 1
200125 142641.585|INFO|Thread-19|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 33 NEW 21 min 1296983ms from TEAM141 @ site 1 id Run-7994240965515149352 problem Inscribe-7953769379991355328 lang Java-219397506908346364
